,Item,USD,Per ton,Tonnes,protein,fat,carbs,weight,protein tonnes,fat tonnes,carbs tonnes
53,rye,1262,179.3,7.038482989403234,26.633333333333336,5.046666666666667,0.0,174.0,1.0773463426308783,0.20414297406046927,0.0
54,"shorn wool, greasy, including fleece-washed shorn wool",12859,2282.2,5.634475506090615,0.0,0.0,0.0,100.0,0.0,0.0,0.0
55,"walnuts, in shell",9377,2488.8,3.7676792028286723,19.94490994520548,5.962508911368011,13.444553228070179,980.0,0.07667961469677698,0.022923286553103963,0.05168853427420725
56,olives,1796,671.7,2.6738127140092303,1.15,12.928571428571427,4.96,3.2,0.960901444097067,10.802680831153362,4.144409706714307
57,linseed,868,339.0,2.56047197640118,0.0,0.0,0.0,100.0,0.0,0.0,0.0
58,"peas, dry",2612,1085.1,2.4071514146161648,24.088325471698088,2.861500572737687,9.36,135.0,0.42951293877727886,0.05102270482659621,0.1668958314133874
59,silk-worm cocoons suitable for reeling,8848,4909.0,1.8024037482175597,2.0222656249999997,0.9904704545454539,11.159080208333334,230.0,0.015847561488658807,0.007761859390310767,0.08744855649634951
60,tea leaves,222,198.2,1.1200807265388497,24.297777777777785,6.476956521739129,0.0,525.0,0.05183899540307211,0.013818503174533533,0.0
61,tung nuts,23,90.4,0.25442477876106195,16.415475999999995,63.86692307692309,15.687123999999997,135.0,0.03093706555227793,0.12036539091848829,0.029564392985906258
62,quinces,132,1178.1,0.11204481792717087,0.0,0.0,0.0,100.0,0.0,0.0,0.0
63,"jute, raw or retted",3,507.0,0.005917159763313609,15.722604592326142,6.37837388939256,9.60791902941177,980.0,9.493179925326736e-05,3.8512099320085495e-05,5.801182845919436e-05
