fdc_id,nutrient_id,amount
319991,1304,0.004
319991,1334,0
319991,1315,6.95
319991,2019,0
319991,1306,0.009
319991,2009,0
319991,1314,0.023
319991,1321,0.029
319991,1312,0.01
319991,1278,0
319991,1300,0.007
319991,1265,1.05
319991,2012,0.126
319991,1404,0.612
319991,1313,0.006
319991,1264,0.008
319991,1323,0.006
319991,1259,0
319991,1273,0.036
319991,1266,0.493
319991,1261,0
319991,1406,0
319991,1414,0
319991,1263,0
319991,1262,0
319991,1260,0
319991,1411,0
319991,2014,0
319991,1335,0
319992,1009,8
319993,1004,15.2
319993,1051,60.5
319993,1007,1.99
319993,1002,1.09
319994,1177,18
319995,1170,0.26
319996,1095,1.46
319996,1092,267
319996,1101,1.04
319996,1098,0.34
319996,1089,2.03
319996,1093,452
319996,1087,28
319996,1091,160
319996,1090,74.4
319997,1166,0.12
319998,1167,0.85
319999,1013,0
319999,1014,0
319999,1075,0
319999,1012,0
319999,1010,0
319999,1011,0
320000,1079,5.5
320001,1165,0.13
320002,1175,0.11
320003,1129,0
320003,1126,8.4
320003,1128,0
320003,1125,0.22
320003,1127,0.33
320003,1109,1.62
320003,1130,0
320003,1131,0
320004,1162,0
320011,1334,0
320011,1301,0.03
320011,2012,0.119
320011,2019,0
320011,1280,0
320011,1312,0.008
320011,1261,0
320011,1333,0
320011,1316,5.76
320011,1262,0
320011,1300,0.01
320011,1273,0.062
320011,1260,0
320011,1323,0.01
320011,1335,0
320011,1404,0.411
320011,1411,0
320011,1299,0.003
320011,1311,0.003
320011,1313,0.005
320011,1264,0.008
320011,2009,0
320011,1303,0
320011,1406,0
320011,1263,0
320011,1405,0
320011,1315,8.73
320011,1272,0
320011,1314,0.026
320011,1321,0.027
320011,2014,0.004
320011,1276,0
320011,1271,0.005
320011,1278,0
320011,1266,0.567
320011,1305,0
320011,1267,0.083
320011,1259,0
320011,1306,0.017
320011,1414,0
320011,1265,1.16
320011,1304,0.009
320012,1009,7.7
320013,1004,18.8
320013,1007,1.93
320013,1002,0.99
320013,1051,59.3
320014,1177,34
320015,1091,137
320015,1087,30
320015,1101,0.941
320015,1090,65
320015,1092,239
320015,1095,1.25
320015,1098,0.281
320015,1089,2.24
320015,1093,457
320016,1166,0.08
320017,1167,0.82
320018,1079,4.9
320019,1165,0.16
320020,1175,0.16
320021,1183,0
320021,1184,0
320021,1185,11.2
320022,1127,0.26
320022,1128,0
320022,1125,0.33
320022,1129,0
320022,1130,0
320022,1126,6.32
320022,1131,0
320022,1109,2.89
320023,1162,0
320027,1007,0.67
320027,1004,1.8
320027,1051,89.1
320027,1002,0.54
320028,1111,0
320028,1113,0
320028,1112,1.2
320029,1253,8
320030,1100,35.2
320033,1007,0.68
320033,1004,1.91
320033,1002,0.58
320033,1051,88.4
320034,1111,0
320034,1112,1.1
320034,1113,0
320035,1253,8
320036,1100,23.1
320039,1004,1.92
320039,1007,0.63
320039,1051,89
320039,1002,0.53
320040,1112,1.3
320040,1113,0
320040,1111,0
320041,1253,8
320042,1100,50.5
320045,1405,0
320045,1315,0.338
320045,1404,0.007
320045,2006,0
320045,2005,0
320045,1271,0.003
320045,1334,0
320045,2004,0
320045,1411,0.001
320045,1321,0.001
320045,1300,0.01
320045,2015,0
320045,1267,0.002
320045,1265,0.527
320045,1276,0
320045,1335,0
320045,2021,0
320045,1257,0.07
320045,2007,0
320045,1333,0
320045,1262,0.049
320045,1305,0
320045,1263,0.058
320045,1312,0
320045,1313,0
320045,1301,0
320045,2019,0
320045,1272,0
320045,1281,0.003
320045,1299,0.02
320045,1303,0.005
320045,1278,0.001
320045,1292,0.39
320045,1261,0.02
320045,1304,0.057
320045,1406,0.002
320045,2012,0.002
320045,1266,0.181
320045,1293,0.05
320045,1323,0.003
320045,2013,0
320045,1273,0.001
320045,1314,0.03
320045,1264,0.188
320045,2008,0.001
320045,1280,0.001
320045,2009,0.016
320045,1260,0.03
320045,1259,0.039
320045,1414,0
320045,1306,0.005
320045,2014,0
320045,1311,0.006
320045,1316,0.038
320045,2003,0
320045,1258,1.13
320046,1227,0.19
320046,1219,0.19
320046,1213,0.32
320046,1220,0.12
320046,1224,0.76
320046,1222,0.11
320046,1232,0.03
320046,1221,0.09
320046,1228,0
320046,1217,0.15
320046,1223,0.27
320046,1212,0.16
320046,1226,0.31
320046,1210,0.05
320046,1211,0.15
320046,1225,0.07
320046,1215,0.08
320046,1218,0.15
320046,1214,0.31
320047,1051,88.9
320047,1004,1.92
320047,1007,0.69
320047,1002,0.51
320048,1112,1
320048,1111,0
320048,1113,0
320049,1103,4.6
320050,1090,12.2
320050,1091,107
320050,1092,169
320050,1101,0.003
320050,1089,0
320050,1093,42
320050,1098,0
320050,1087,134
320050,1095,0.48
320051,1177,0
320052,1167,0.12
320053,1103,4.6
320054,1253,8
320055,1011,0
320055,1013,5.03
320055,1014,0
320055,1075,0
320055,1012,0
320055,1010,0
320056,1165,0.057
320057,1178,0.53
320058,1166,0.13
320059,1175,0.064
320060,1105,58
320061,1100,61.5
320064,1314,0.023
320064,2015,0
320064,1257,0.06
320064,1300,0.013
320064,1305,0
320064,1265,0.524
320064,1335,0
320064,1313,0
320064,1266,0.173
